Item,Description,Warehouse,Qty OH,Std,Amount,Item Group,17/04/2025,24/04/2025,01/05/2025,08/05/2025,15/05/2025,22/05/2025,29/05/2025,05/06/2025,12/06/2025,19/06/2025,26/06/2025,03/07/2025,10/07/2025,17/07/2025,24/07/2025,31/07/2025,07/08/2025,14/08/2025,21/08/2025,28/08/2025,04/09/2025,11/09/2025,18/09/2025,25/09/2025,02/10/2025,09/10/2025,16/10/2025,23/10/2025,30/10/2025,06/11/2025,13/11/2025,20/11/2025,27/11/2025,04/12/2025,11/12/2025,18/12/2025,25/12/2025,01/01/2026,08/01/2026,15/01/2026,22/01/2026,29/01/2026,05/02/2026,12/02/2026,19/02/2026,26/02/2026,05/03/2026,12/03/2026,19/03/2026,26/03/2026,02/04/2026
FLX-CHE-ADH-H00167,"ACCER,HENKEL-7387,BTL,52ml",300380,7.0,17.84,124.88,FLX98P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FLX-CHE-ADH-H00250,"INSTANTADH,HENKEL-444,BTL,20g",300380,7.0,9.8,68.6,FLX98P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FLX-CHE-ADH-H00288,"GLUERED,HENKEL-3609,BTL,30ml",300380,24.0,88.77,2130.48,FLX98P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FLX-CHE-ADH-H02615,"DOW,DOWSIL-PR-1200-RTV,BTL,309,ML;ADHESIVE",300380,5.0,64.39,321.95,FLX98P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FLX-CHE-ADH-H02642,"ZYMET,UA-2605-BT2,SYR,30,CC;ADHESIVE",300380,424.0,114.74,48649.76,FLX98P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FLX-CHE-ADH-H02706,"UA2605B,SYRINGE,30,CC;EPOXY",300380,24.0,103.59,2486.16,FLX98P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FLX-CHE-CFM-N00124,ARATHANE 5750 A/B LV QT KIT H 140GR A/ 780GM B,300380,54.0,320.0,11840.0,FLX98P,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,21.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0
FLX-CHE-CLN-H00077, ,300380,50.0,31.712,1585.6,FLX98P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FLX-CHE-CLN-H00115, ,300380,7.0,7.74,54.18,FLX98P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FLX-CHE-CLN-H00129, ,300380,6.0,26.6,159.6,FLX98P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
