Item,Arrive Date,QTY,Expirate Days,Expirate Date,Description,Where Used,Supplier,LT Days,STATUS
FLX-CHE-CFM-N00124,22/04/2025,45,152,21/09/2025,ARATHANE 5750 LV KIT SQR,Skywalker,KRAYDEN,84,ENTREGADO
FLX-CHE-CFM-N00124,29/05/2025,45,152,28/10/2025,ARATHANE 5750 LV KIT SQR,Skywalker,KRAYDEN,84,PEDIDO
FLX-CHE-CFM-N00124,19/06/2025,20,152,18/11/2025,ARATHANE 5750 LV KIT SQR,Skywalker,KRAYDEN,84,PEDIDO
FLX-CHE-CFM-N00124,26/06/2025,40,152,25/11/2025,ARATHANE 5750 LV KIT SQR,Skywalker,KRAYDEN,84,PEDIDO
FLX-CHE-CFM-N00124,03/07/2025,200,152,02/12/2025,ARATHANE 5750 LV KIT SQR,Skywalker,KRAYDEN,84,PEDIDO
FLX-CHE-CFM-N00124,10/07/2025,100,152,09/12/2025,ARATHANE 5750 LV KIT SQR,Skywalker,KRAYDEN,84,PEDIDO
FLX-CHE-CFM-N00124,07/08/2025,100,152,06/01/2026,ARATHANE 5750 LV KIT SQR,Skywalker,KRAYDEN,84,PEDIDO
FLX-CHE-CFM-N00124,11/09/2025,327,152,10/02/2026,ARATHANE 5750 LV KIT SQR,Skywalker,KRAYDEN,84,PEDIDO
FLX-CHE-CFM-N00124,06/11/2025,327,152,07/04/2026,ARATHANE 5750 LV KIT SQR,Skywalker,KRAYDEN,84,PEDIDO
FLX-CHE-CFM-N00124,04/12/2025,100,152,05/05/2026,ARATHANE 5750 LV KIT SQR,Skywalker,KRAYDEN,84,PEDIDO
FLX-CHE-CFM-N00124,15/01/2026,327,152,16/06/2026,ARATHANE 5750 LV KIT SQR,Skywalker,KRAYDEN,84,PEDIDO
