History_ID,USER,NOMENCLATURA,JOB,LINEA,USER MFG,ESTADO,MOVIMIENTO,COMENTARIO,QTY,DATE
1,1,FLX-CHE-ADH-H00167,,,,,Surtir a Piso,,1,11/03/2025 09:46
2,1,FLX-CHE-ADH-H00167,,,,,Surtir a Piso,,2,11/03/2025 09:46
3,1,FLX-CHE-ADH-H00167,,,,,Ingresar a Tool,,6,11/03/2025 10:38
4,GDLGUSRE,FLX-CHE-ADH-H00167,,,,,Ingresar a Tool,,3,11/03/2025 10:41
5,GDLGUSRE,FLX-CHE-ADH-H00167,,,,,Surtir a Piso,,3,11/03/2025 10:41
6,GDLGUSRE,FLX-CHE-ADH-H00167,,,,,Surtir a Piso,,7,11/03/2025 10:42
7,GDLGUSRE,FLX-CHE-ADH-H00167,,,,,Ingresar a Tool,,7,11/03/2025 10:42
8,GDLGUSRE,FLX-CHE-ADH-H00167,,,,,Surtir a Piso,,7,11/03/2025 10:42
9,GDLGUSRE,FLX-CHE-ADH-H00167,,,,,Ingresar a Tool,,7,11/03/2025 10:42
10,GDLGUSRE,FLX-CHE-ADH-H00167,,,,,Surtir a Piso,,7,11/03/2025 10:42
11,GDLGUSRE,FLX-CHE-ADH-H00167,,,,,Ingresar a Tool,,7,11/03/2025 10:42
12,GDLGUSRE,FLX-CHE-ADH-H00167,,,,,Surtir a Piso,,7,11/03/2025 10:42
13,GDLGUSRE,FLX-CHE-ADH-H00167,,,,,Ingresar a Tool,,7,11/03/2025 10:42
14,1,FLX-CHE-ADH-H00167,,,,,Surtir a Piso,,3,11/03/2025 10:55
15,1,FLX-CHE-ADH-H00167,,,,,Ingresar a Tool,,3,11/03/2025 10:57
16,GDLGUSRE,CPA MAIN-1,,,,,Edicion de mantenimiento,,,11/03/2025 11:06
17,GDLGUSRE,CPA MAIN-1,,,,,Edicion de mantenimiento,,,11/03/2025 11:08
18,GDLGUSRE,FLX-CHE-ADH-H00167,,,,,Actualizacion listado - Nuevo,,,11/03/2025 11:10
19,GDLGUSRE,FLX-CHE-ADH-H00167,,,,,Actualizacion listado - Nuevo,,,11/03/2025 11:12
20,1,FLX-CHE-ADH-H00167,,,,,Actualizacion listado - Nuevo,,,11/03/2025 11:46
21,1,FLX-CHE-ADH-H00167,,,,,Actualizacion listado - Nuevo,,,11/03/2025 11:58
22,1,FLX-CHE-ADH-H00167,,,,,Actualizacion listado - Modificacion,,,11/03/2025 11:58
23,1,FLX-CHE-ADH-H00167,,,,,Actualizacion listado - Nuevo,,,11/03/2025 12:05
24,1,FLX-CHE-ADH-H00167,,,,,Actualizacion listado - Nuevo,,,11/03/2025 12:19
25,1,FLX-CHE-ADH-H00167,,,,,Actualizacion listado - Nuevo,,,11/03/2025 12:23
26,1,FLX-CHE-ADH-H00167,,,,,Actualizacion listado - Nuevo,,,11/03/2025 12:28
27,1,FLX-CHE-ADH-H00167,,,,,Actualizacion listado - Modificacion,,,11/03/2025 12:35
28,1,FLX-CHE-ADH-H00167,,,,,Actualizacion listado - Modificacion,,,11/03/2025 12:40
29,GDLGUSRE,FLX-CHE-ADH-H00167,,,,,Actualizacion listado - Modificacion,,,11/03/2025 12:50
30,GDLGUSRE,FLX-CHE-ADH-H00167,,,,,Surtir a Piso,,3,11/03/2025 13:22
31,GDLGUSRE,CPA MAIN-1,,,,,Ingresar a Tool,,,11/03/2025 13:22
32,GDLGUSRE,CPA MAIN-1,,,,,Edicion de mantenimiento,,,11/03/2025 13:24
33,GDLGUSRE,CPA MAIN-1,,,,,Mantenimiento Realizado,,,11/03/2025 13:25
34,GDLGUSRE,FLX-CHE-ADH-H00167,,,,,Actualizacion listado - Modificacion,,,11/03/2025 13:26
35,1,FLX-CHE-ADH-H00167,,,,,Surtir a Piso,,3,11/03/2025 15:05
36,1,FLX-CHE-ADH-H00167,,,,,Actualizacion listado - Modificacion,,,11/03/2025 15:11
37,1,FLX-CHE-ADH-H00167,,,,,Surtir a Piso,,1,11/03/2025 15:16
38,1,FLX-CHE-ADH-H00167,,,,,Ingresar a Tool,,1,11/03/2025 15:16
39,1,CPA MAIN-1,,,,,Ingresar a Tool,,,11/03/2025 15:37
40,1,CPA MAIN-1,,,,,Surtir a Piso,,,11/03/2025 15:38
41,1,FLX-CHE-ADH-H00167,,,,,Actualizacion listado - Modificacion,,,11/03/2025 16:09
42,1,FLX-CHE-ADH-H00167,,,,,Actualizacion listado - Modificacion,,,11/03/2025 16:39
43,1,FLX-CHE-ADH-H00167,,,,,Actualizacion listado - Modificacion,,,11/03/2025 16:41
44,1,FLX-CHE-ADH-H00167,,,,,Actualizacion listado - Modificacion,,,12/03/2025 12:31
45,1,FLX-CHE-ADH-H00167,,,,,Surtir a Piso,,3,12/03/2025 12:33
46,1,FLX-CHE-ADH-H00167,,,,,Surtir a Piso,,3,13/03/2025 07:40
47,1,FLX-CHE-ADH-H00167,,,,,Ingresar a Tool,,3,13/03/2025 07:40
48,1,CPA MAIN-1,,,,,Edicion de mantenimiento,,,13/03/2025 07:42
