NOMENCLATURA,HERRAMENTAL_ID,ITEM_TYPE,MODELO,JOB,TIPO DE HERRAMENTAL,PROCESO,PROYECTO,RACK,ULTIMO_MANTENIMIENTO,PROXIMO_MANTENIMIENTO,PERIODO,STATUS,DIAS_ALERTA,MPI,TYPE_INOUT,STATUS_INOUT,USER_OUT,MULTI_STOCK_IN,MULTI_STOCK_OUT,MULTI_STOCK_ALL,LAST_OUT,EMPLOYEE_OUT,USER_LAST_MAINTENANCE,LADO,TYPE_CONS_INOUT,TICKNESS,is_update,MOV
OHA BEO-1,1,NC,,OHA BEO-1,PALLETS,,SKYWALKER,,05/05/2025,05/06/2025,mensual,EN FECHA,7.0,https://flexstation.flex.com:8443/ewi/,SINGLE,in,,,,1.0,,,TOOLCRIB,,,,,
OHA BEO-2,2,NC,,OHA BEO-2,PALLETS,,SKYWALKER,,05/05/2025,05/06/2025,mensual,EN FECHA,7.0,https://flexstation.flex.com:8443/ewi/,SINGLE,in,,,,1.0,,,TOOLCRIB,,,,,
OHA BEO-3,3,NC,,OHA BEO-3,PALLETS,,SKYWALKER,,05/05/2025,05/06/2025,mensual,EN FECHA,7.0,https://flexstation.flex.com:8443/ewi/,SINGLE,in,,,,1.0,,,TOOLCRIB,,,,,
OHA BEO-4,4,NC,,OHA BEO-4,PALLETS,,SKYWALKER,,05/05/2025,05/06/2025,mensual,EN FECHA,7.0,https://flexstation.flex.com:8443/ewi/,SINGLE,in,,,,1.0,,,TOOLCRIB,,,,,
OHA BEO-5,5,NC,,OHA BEO-5,PALLETS,,SKYWALKER,,05/05/2025,05/06/2025,mensual,EN FECHA,7.0,https://flexstation.flex.com:8443/ewi/,SINGLE,in,,,,1.0,,,TOOLCRIB,,,,,
OHA BEO-6,6,NC,,OHA BEO-6,PALLETS,,SKYWALKER,,05/05/2025,05/06/2025,mensual,EN FECHA,7.0,https://flexstation.flex.com:8443/ewi/,SINGLE,in,,,,1.0,,,TOOLCRIB,,,,,
OHA BEO-7,7,NC,,OHA BEO-7,PALLETS,,SKYWALKER,,05/05/2025,05/06/2025,mensual,EN FECHA,7.0,https://flexstation.flex.com:8443/ewi/,SINGLE,in,,,,1.0,,,TOOLCRIB,,,,,
OHA BEO-8,8,NC,,OHA BEO-8,PALLETS,,SKYWALKER,,05/05/2025,05/06/2025,mensual,EN FECHA,7.0,https://flexstation.flex.com:8443/ewi/,SINGLE,in,,,,1.0,,,TOOLCRIB,,,,,
OHA BEO-9,9,NC,,OHA BEO-9,PALLETS,,SKYWALKER,,05/05/2025,05/06/2025,mensual,EN FECHA,7.0,https://flexstation.flex.com:8443/ewi/,SINGLE,in,,,,1.0,,,TOOLCRIB,,,,,
OHA BEO-10,10,NC,,OHA BEO-10,PALLETS,,SKYWALKER,,05/05/2025,05/06/2025,mensual,EN FECHA,7.0,https://flexstation.flex.com:8443/ewi/,SINGLE,in,,,,1.0,,,TOOLCRIB,,,,,
OHA BEO-11,11,NC,,OHA BEO-11,PALLETS,,SKYWALKER,,05/05/2025,05/06/2025,mensual,EN FECHA,7.0,https://flexstation.flex.com:8443/ewi/,SINGLE,in,,,,1.0,,,TOOLCRIB,,,,,
OHA BEO-12,12,NC,,OHA BEO-12,PALLETS,,SKYWALKER,,05/05/2025,05/06/2025,mensual,EN FECHA,7.0,https://flexstation.flex.com:8443/ewi/,SINGLE,in,,,,1.0,,,TOOLCRIB,,,,,
OHA BEO-13,13,NC,,OHA BEO-13,PALLETS,,SKYWALKER,,05/05/2025,05/06/2025,mensual,EN FECHA,7.0,https://flexstation.flex.com:8443/ewi/,SINGLE,in,,,,1.0,,,TOOLCRIB,,,,,
OHA BEO-14,14,NC,,OHA BEO-14,PALLETS,,SKYWALKER,,05/05/2025,05/06/2025,mensual,EN FECHA,7.0,https://flexstation.flex.com:8443/ewi/,SINGLE,in,,,,1.0,,,TOOLCRIB,,,,,
OHA BEO-15,15,NC,,OHA BEO-15,PALLETS,,SKYWALKER,,05/05/2025,05/06/2025,mensual,EN FECHA,7.0,https://flexstation.flex.com:8443/ewi/,SINGLE,in,,,,1.0,,,TOOLCRIB,,,,,
OHA BEO-16,16,NC,,OHA BEO-16,PALLETS,,SKYWALKER,,05/05/2025,05/06/2025,mensual,EN FECHA,7.0,https://flexstation.flex.com:8443/ewi/,SINGLE,in,,,,1.0,,,TOOLCRIB,,,,,
OHA BEO-17,17,NC,,OHA BEO-17,PALLETS,,SKYWALKER,,05/05/2025,05/06/2025,mensual,EN FECHA,7.0,https://flexstation.flex.com:8443/ewi/,SINGLE,in,,,,1.0,,,TOOLCRIB,,,,,
