Skid,Item,Description,Warehouse,Location,Ifecha,On Hand,Std,Status_de_surtido,Company
374008,FLX-CHE-ADH-H00167,"ACCER,HENKEL-7387,BTL,52ml",300380,UBICAR,02/01/2026 00:00:00,0,17.84,Surtido,300
372193,FLX-CHE-CLN-H00077,"CLNR,VIGON-SC200,PAIL,25L",300380,UBICAR,06/02/2028 20:37:00,25,31.712,En stock,300
420703,FLX-CHE-ADH-H00167,"ACCER,HENKEL-7387,BTL,52ml",300380,UBICAR,02/01/2026 00:00:00,0,17.84,Surtido,300
420705,FLX-CHE-ADH-H00167,"ACCER,HENKEL-7387,BTL,52ml",300380,UBICAR,01/02/2026 10:17:29,1,17.84,En stock,300
420708,FLX-CHE-ADH-H00167,"ACCER,HENKEL-7387,BTL,52ml",300380,UBICAR,02/01/2026 00:00:00,1,17.84,En stock,300
420714,FLX-CHE-ADH-H00167,"ACCER,HENKEL-7387,BTL,52ml",300380,UBICAR,02/01/2026 00:00:00,1,17.84,En stock,300
462756,FLX-SDR-WIR-H00110,"SAC305,0.5mm,802,1.8-2.5%,N,0.",300380,UBICAR,28/02/2034 15:28:00,1,18.4131,En stock,300
462792,FLX-SDR-WIR-H00110,"SAC305,0.5mm,802,1.8-2.5%,N,0.",300380,UBICAR,28/02/2034 15:28:00,1,18.4131,En stock,300
462806,FLX-SDR-WIR-H00110,"SAC305,0.5mm,802,1.8-2.5%,N,0.",300380,UBICAR,28/02/2034 15:28:00,1,18.4131,En stock,300
462826,FLX-SDR-WIR-H00110,"SAC305,0.5mm,802,1.8-2.5%,N,0.",300380,UBICAR,28/02/2034 15:29:00,1,18.4131,En stock,300
462829,FLX-SDR-WIR-H00110,"SAC305,0.5mm,802,1.8-2.5%,N,0.",300380,UBICAR,28/02/2034 15:29:00,1,18.4131,En stock,300
462836,FLX-SDR-WIR-H00110,"SAC305,0.5mm,802,1.8-2.5%,N,0.",300380,UBICAR,28/02/2034 15:29:00,1,18.4131,En stock,300
462842,FLX-SDR-WIR-H00110,"SAC305,0.5mm,802,1.8-2.5%,N,0.",300380,UBICAR,28/02/2034 15:29:00,1,18.4131,En stock,300
479638,FLX-CHE-CLN-H00129,"CLNR,3M-62961549305,SPRAY,18.5",300380,UBICAR,04/03/2026 03:16:00,1,26.6,En stock,300
479646,FLX-CHE-CLN-H00129,"CLNR,3M-62961549305,SPRAY,18.5",300380,UBICAR,03/04/2026 03:16:00,1,26.6,En stock,300
479653,FLX-CHE-CLN-H00129,"CLNR,3M-62961549305,SPRAY,18.5",300380,UBICAR,03/04/2026 03:17:00,1,26.6,En stock,300
495058,FLX-CHE-CLN-H00077,"CLNR,VIGON-SC200,PAIL,25L",300380,UBICAR,12/06/2029 22:38:00,25,31.712,En stock,300
518923,FLX-CHE-CFM-N00124,ARATHANE 5750 A/B LV QT KIT H,300380,UBICAR,30/07/2025 22:56:00,1,320.0,En stock,300
518924,FLX-CHE-CFM-N00124,ARATHANE 5750 A/B LV QT KIT H,300380,UBICAR,30/07/2025 22:56:00,1,320.0,En stock,300
518925,FLX-CHE-CFM-N00124,ARATHANE 5750 A/B LV QT KIT H,300380,UBICAR,30/07/2025 22:56:00,1,320.0,En stock,300
518926,FLX-CHE-CFM-N00124,ARATHANE 5750 A/B LV QT KIT H,300380,UBICAR,30/07/2025 22:56:00,1,320.0,En stock,300
518927,FLX-CHE-CFM-N00124,ARATHANE 5750 A/B LV QT KIT H,300380,UBICAR,30/07/2025 22:56:00,1,320.0,En stock,300
523213,FLX-CHE-OTH-N00142,"REFRG,SILICONES-E-27,SPRYCAN,1",300380,UBICAR,,1,6.878789,En stock,300
523280,FLX-CHE-OTH-N00142,"REFRG,SILICONES-E-27,SPRYCAN,1",300380,UBICAR,,1,6.878789,En stock,300
523282,FLX-CHE-OTH-N00142,"REFRG,SILICONES-E-27,SPRYCAN,1",300380,UBICAR,,1,6.878789,En stock,300
523283,FLX-CHE-OTH-N00142,"REFRG,SILICONES-E-27,SPRYCAN,1",300380,UBICAR,,1,6.878789,En stock,300
523291,FLX-CHE-OTH-N00142,"REFRG,SILICONES-E-27,SPRYCAN,1",300380,UBICAR,,1,6.878789,En stock,300
505523,FLX-SDR-WIR-N00034,"Sn63Pb37,KESTER-245,0.8mm,245,",300380,UBICAR,24/06/2027 21:54:00,1,31.67809,En stock,300
505525,FLX-SDR-WIR-N00034,"Sn63Pb37,KESTER-245,0.8mm,245,",300380,UBICAR,24/06/2027 21:54:00,1,31.67809,En stock,300
505527,FLX-SDR-WIR-N00034,"Sn63Pb37,KESTER-245,0.8mm,245,",300380,UBICAR,24/06/2027 21:54:00,1,31.67809,En stock,300
505529,FLX-SDR-WIR-N00034,"Sn63Pb37,KESTER-245,0.8mm,245,",300380,UBICAR,24/06/2027 21:54:00,1,31.67809,En stock,300
505530,FLX-SDR-WIR-N00034,"Sn63Pb37,KESTER-245,0.8mm,245,",300380,UBICAR,24/06/2027 21:55:00,1,31.67809,En stock,300
505545,FLX-SDR-WIR-N00034,"Sn63Pb37,KESTER-245,0.8mm,245,",300380,UBICAR,24/06/2027 21:55:00,1,31.67809,En stock,300
510865,FLX-CHE-ADH-H02642,"ZYMET,UA-2605-BT2,SYR,30,CC;AD",300380,UBICAR,16/01/2026 00:39:00,1,114.74,En stock,300
510866,FLX-CHE-ADH-H02642,"ZYMET,UA-2605-BT2,SYR,30,CC;AD",300380,UBICAR,16/01/2026 00:39:00,1,114.74,En stock,300
510867,FLX-CHE-ADH-H02642,"ZYMET,UA-2605-BT2,SYR,30,CC;AD",300380,UBICAR,16/01/2026 00:39:00,1,114.74,En stock,300
510868,FLX-CHE-ADH-H02642,"ZYMET,UA-2605-BT2,SYR,30,CC;AD",300380,UBICAR,16/01/2026 00:39:00,1,114.74,En stock,300
510869,FLX-CHE-ADH-H02642,"ZYMET,UA-2605-BT2,SYR,30,CC;AD",300380,UBICAR,16/01/2026 00:39:00,1,114.74,En stock,300
510870,FLX-CHE-ADH-H02642,"ZYMET,UA-2605-BT2,SYR,30,CC;AD",300380,UBICAR,16/01/2026 00:39:00,1,114.74,En stock,300
510871,FLX-CHE-ADH-H02642,"ZYMET,UA-2605-BT2,SYR,30,CC;AD",300380,UBICAR,16/01/2026 00:39:00,1,114.74,En stock,300
510872,FLX-CHE-ADH-H02642,"ZYMET,UA-2605-BT2,SYR,30,CC;AD",300380,UBICAR,16/01/2026 00:39:00,1,114.74,En stock,300
510873,FLX-CHE-ADH-H02642,"ZYMET,UA-2605-BT2,SYR,30,CC;AD",300380,UBICAR,16/01/2026 00:39:00,1,114.74,En stock,300
510874,FLX-CHE-ADH-H02642,"ZYMET,UA-2605-BT2,SYR,30,CC;AD",300380,UBICAR,16/01/2026 00:39:00,1,114.74,En stock,300
510875,FLX-CHE-ADH-H02642,"ZYMET,UA-2605-BT2,SYR,30,CC;AD",300380,UBICAR,16/01/2026 00:39:00,1,114.74,En stock,300
510876,FLX-CHE-ADH-H02642,"ZYMET,UA-2605-BT2,SYR,30,CC;AD",300380,UBICAR,16/01/2026 00:39:00,1,114.74,En stock,300
510877,FLX-CHE-ADH-H02642,"ZYMET,UA-2605-BT2,SYR,30,CC;AD",300380,UBICAR,16/01/2026 00:39:00,1,114.74,En stock,300
510878,FLX-CHE-ADH-H02642,"ZYMET,UA-2605-BT2,SYR,30,CC;AD",300380,UBICAR,16/01/2026 00:39:00,1,114.74,En stock,300
510879,FLX-CHE-ADH-H02642,"ZYMET,UA-2605-BT2,SYR,30,CC;AD",300380,UBICAR,16/01/2026 00:39:00,1,114.74,En stock,300
510880,FLX-CHE-ADH-H02642,"ZYMET,UA-2605-BT2,SYR,30,CC;AD",300380,UBICAR,16/01/2026 00:39:00,1,114.74,En stock,300
510881,FLX-CHE-ADH-H02642,"ZYMET,UA-2605-BT2,SYR,30,CC;AD",300380,UBICAR,16/01/2026 00:39:00,1,114.74,En stock,300
510882,FLX-CHE-ADH-H02642,"ZYMET,UA-2605-BT2,SYR,30,CC;AD",300380,UBICAR,16/01/2026 00:39:00,1,114.74,En stock,300
510883,FLX-CHE-ADH-H02642,"ZYMET,UA-2605-BT2,SYR,30,CC;AD",300380,UBICAR,16/01/2026 00:39:00,1,114.74,En stock,300
510884,FLX-CHE-ADH-H02642,"ZYMET,UA-2605-BT2,SYR,30,CC;AD",300380,UBICAR,16/01/2026 00:39:00,1,114.74,En stock,300
510885,FLX-CHE-ADH-H02642,"ZYMET,UA-2605-BT2,SYR,30,CC;AD",300380,UBICAR,16/01/2026 00:39:00,1,114.74,En stock,300
510886,FLX-CHE-ADH-H02642,"ZYMET,UA-2605-BT2,SYR,30,CC;AD",300380,UBICAR,16/01/2026 00:39:00,1,114.74,En stock,300
510887,FLX-CHE-ADH-H02642,"ZYMET,UA-2605-BT2,SYR,30,CC;AD",300380,UBICAR,16/01/2026 00:39:00,1,114.74,En stock,300
510888,FLX-CHE-ADH-H02642,"ZYMET,UA-2605-BT2,SYR,30,CC;AD",300380,UBICAR,16/01/2026 00:39:00,1,114.74,En stock,300
510889,FLX-CHE-ADH-H02642,"ZYMET,UA-2605-BT2,SYR,30,CC;AD",300380,UBICAR,16/01/2026 00:39:00,1,114.74,En stock,300
510890,FLX-CHE-ADH-H02642,"ZYMET,UA-2605-BT2,SYR,30,CC;AD",300380,UBICAR,16/01/2026 00:39:00,1,114.74,En stock,300
510891,FLX-CHE-ADH-H02642,"ZYMET,UA-2605-BT2,SYR,30,CC;AD",300380,UBICAR,16/01/2026 00:39:00,1,114.74,En stock,300
510893,FLX-CHE-ADH-H02642,"ZYMET,UA-2605-BT2,SYR,30,CC;AD",300380,UBICAR,16/01/2026 00:39:00,1,114.74,En stock,300
510894,FLX-CHE-ADH-H02642,"ZYMET,UA-2605-BT2,SYR,30,CC;AD",300380,UBICAR,16/01/2026 00:39:00,1,114.74,En stock,300
